家賃_num,築年数_num,面積_num,徒歩分_num,駅名,駅カテゴリ,y_true_log,y_pred_log,実家賃,予測家賃
5.7,16,58.48,22,高城駅,郊外,1.7404661748405046,1.755570937387199,5.700000000000001,5.786750671292771
6.7,8,68.87,41,高城駅,郊外,1.9021075263969205,1.9413588107109114,6.700000000000001,6.968213023103991
5.4,9,49.14,14,滝尾駅,住宅地,1.6863989535702288,1.7764619190672184,5.4,5.908913177949903
5.4,21,51.66,9,大分駅,中心市街地,1.6863989535702288,1.8549521612552544,5.4,6.391392487113527
5.1,19,56.3,24,大在駅,その他,1.62924053973028,1.7116012218261276,5.1,5.537821663085906
5.2,25,58.59,15,南大分駅,住宅地,1.6486586255873816,1.7371268423145871,5.2,5.68099755001018
4.7,18,46.49,7,大在駅,その他,1.547562508716013,1.6138985641393,4.7,5.0223530761055
4.1,20,44.82,20,坂ノ市駅,郊外,1.410986973710262,1.56539242833258,4.1,4.784552161359772
5.6,20,57.81,18,坂ノ市駅,郊外,1.7227665977411035,1.712486626497191,5.6,5.5427270475586194
5.45,8,44.66,13,高城駅,郊外,1.6956156086751528,1.674534384165633,5.45,5.336309900145853
5.1,18,51.15,21,高城駅,郊外,1.62924053973028,1.6548376221017738,5.1,5.232230254644536
5.9,23,74.52,15,大在駅,その他,1.7749523509116738,1.882903275549642,5.9,6.572559139146154
4.8,23,58.12,17,大在駅,その他,1.5686159179138452,1.6973165830146815,4.8,5.459278198902496
6.0,20,68.8,17,坂ノ市駅,郊外,1.791759469228055,1.8367738317949573,6.0,6.276257301970357
5.0,15,54.4,27,大在駅,その他,1.6094379124341003,1.7259058102538023,4.999999999999999,5.617607212001813
5.5,12,56.47,20,大在駅,その他,1.7047480922384253,1.7782206722418177,5.5,5.919314641882749
5.3,18,61.76,18,大在駅,その他,1.667706820558076,1.7837299315139568,5.3,5.952015677488451
5.3,18,61.76,18,大在駅,その他,1.667706820558076,1.7837299315139568,5.3,5.952015677488451
4.7,17,42.37,22,牧駅,その他,1.547562508716013,1.5730413231796156,4.7,4.8212890167951725
4.85,16,42.37,13,大在駅,その他,1.5789787049493917,1.5842291388919656,4.85,4.875531571884801
5.3,4,41.6,14,鶴崎駅,郊外,1.667706820558076,1.6762062513032425,5.3,5.3452389633278266
5.4,15,57.63,21,大在駅,その他,1.6863989535702288,1.7637509417575203,5.4,5.834280448940733
5.8,24,65.57,12,南大分駅,住宅地,1.7578579175523736,1.825721247203943,5.8,6.20727038139629
5.7,15,51.3,16,鶴崎駅,郊外,1.7404661748405046,1.6850177911098616,5.700000000000001,5.392546870889892
5.3,18,51.3,19,鶴崎駅,郊外,1.667706820558076,1.6569923399979718,5.3,5.243516389663185
5.5,18,58.86,12,大在駅,その他,1.7047480922384253,1.7523788781231757,5.5,5.768308470162696
5.5,13,41.04,15,南大分駅,住宅地,1.7047480922384253,1.648353116139702,5.5,5.198411593521014
5.8,9,57.07,16,鶴崎駅,郊外,1.7578579175523736,1.8048166554760066,5.8,6.078856821232743
4.8,15,45.39,18,滝尾駅,住宅地,1.5686159179138452,1.6785420608263344,4.8,5.357739016589931
4.95,11,44.97,12,大在駅,その他,1.599387576580599,1.6593643406831236,4.95,5.25596877682902
4.65,13,46.06,16,坂ノ市駅,郊外,1.536867219599265,1.6440901687706382,4.65,5.176298206086851
5.2,5,41.6,15,牧駅,その他,1.6486586255873816,1.6752975248877675,5.2,5.340383809822054
5.1,22,51.67,11,高城駅,郊外,1.62924053973028,1.6265706748223716,5.1,5.086401849659373
5.1,20,52.8,3,高城駅,郊外,1.62924053973028,1.6593943852165964,5.1,5.2561266923311045
5.0,11,36.0,12,大在駅,その他,1.6094379124341003,1.5581098906825266,4.999999999999999,4.749835047885083
4.85,11,50.33,24,鶴崎駅,郊外,1.5789787049493917,1.7086665833757229,4.85,5.52159398153725
4.9,15,45.39,10,滝尾駅,住宅地,1.589235205116581,1.680388059501388,4.9,5.3676385301490726
4.65,17,46.49,25,大在駅,その他,1.536867219599265,1.618856134323344,4.65,5.047313564533765
4.5,26,52.0,2,中判田駅,郊外,1.5040773967762742,1.5959282346205037,4.5,4.93290584161443
6.0,18,60.97,28,大在駅,その他,1.791759469228055,1.772504817172317,6.0,5.8855772082723625
5.0,10,32.33,4,高城駅,郊外,1.6094379124341003,1.519206459974104,4.999999999999999,4.568598390639991
5.6,13,51.66,21,大在駅,その他,1.7227665977411035,1.7145829907114476,5.6,5.554358810136039
5.6,9,31.5,17,大分駅,中心市街地,1.7227665977411035,1.7348704392479515,5.6,5.6681933808326335
4.9,10,33.13,18,高城駅,郊外,1.589235205116581,1.5250064595057455,4.9,4.595173251758843
4.8,9,36.41,4,高城駅,郊外,1.5686159179138452,1.5743730629632435,4.8,4.827713996438131
5.45,13,61.0,24,大在駅,その他,1.6956156086751528,1.819321796169905,5.45,6.16767409092856
5.3,1,42.5,12,鶴崎駅,郊外,1.667706820558076,1.7141602619453589,5.3,5.552011319100768
5.5,15,60.33,23,大在駅,その他,1.7047480922384253,1.7937673701825818,5.5,6.012059508825142
4.8,17,41.04,18,大在駅,その他,1.5686159179138452,1.5589511209005542,4.8,4.75383243378318
4.8,19,41.04,14,大在駅,その他,1.5686159179138452,1.5416519858322513,4.8,4.672302476502257
4.5,28,51.73,18,高城駅,郊外,1.5040773967762742,1.570966310055184,4.5,4.811295151095755
5.2,8,44.89,13,鶴崎駅,郊外,1.6486586255873816,1.6771306521143665,5.2,5.350182391063463
4.6,15,45.39,4,鶴崎駅,郊外,1.5260563034950492,1.6210739909615135,4.6,5.058520205195296
4.75,14,42.19,3,鶴崎駅,郊外,1.55814461804655,1.594293819146869,4.75,4.924850009058907
4.65,20,40.06,20,大分大学前駅,その他,1.536867219599265,1.5200940605371394,4.65,4.572655281326688
4.65,20,40.06,20,大分大学前駅,その他,1.536867219599265,1.5200940605371394,4.65,4.572655281326688
5.4,17,58.86,10,大在駅,その他,1.6863989535702288,1.761951444994854,5.4,5.823791120746975
